"[0.6687, 0.9239]","[0.7472, 0.7647]","[0.7596, 0.5811]","[0.678, 0.469]","[0.5522, 0.4679]","[0.4436, 0.4214]","[0.454, 0.4572]","[0.5571, 0.5848]","[0.6446, 0.6781]","[0.3347, 0.5146]","[0.3728, 0.5666]","[0.511, 0.6975]","[0.6171, 0.7861]","[0.269, 0.6368]","[0.2908, 0.6738]","[0.4317, 0.7742]","[0.5519, 0.846]","[0.236, 0.7628]","[0.099, 0.7497]","[-0.02, 0.7551]","[-0.1207, 0.7554]"
"[0.6638, 0.924]","[0.7364, 0.758]","[0.7486, 0.5798]","[0.6684, 0.4751]","[0.5429, 0.4765]","[0.4181, 0.4303]","[0.4389, 0.4678]","[0.5439, 0.5887]","[0.6336, 0.6802]","[0.3138, 0.5266]","[0.3658, 0.5783]","[0.506, 0.7032]","[0.6147, 0.7936]","[0.2553, 0.6506]","[0.2861, 0.686]","[0.4281, 0.7767]","[0.5491, 0.8455]","[0.2309, 0.7769]","[0.0996, 0.7717]","[-0.012, 0.7825]","[-0.1063, 0.7894]"
"[0.6574, 0.9194]","[0.7308, 0.7514]","[0.7432, 0.5775]","[0.6673, 0.481]","[0.5499, 0.4877]","[0.3965, 0.4367]","[0.4328, 0.4764]","[0.5362, 0.5887]","[0.628, 0.6772]","[0.2954, 0.5363]","[0.3631, 0.5866]","[0.5051, 0.7052]","[0.6171, 0.7952]","[0.2441, 0.6651]","[0.2877, 0.6989]","[0.4332, 0.7858]","[0.5559, 0.8519]","[0.2295, 0.7945]","[0.1051, 0.7937]","[0.0002, 0.8095]","[-0.0871, 0.8207]"
"[0.6509, 0.913]","[0.726, 0.749]","[0.7406, 0.5821]","[0.6682, 0.4919]","[0.554, 0.497]","[0.3753, 0.4498]","[0.4292, 0.4816]","[0.5369, 0.597]","[0.6284, 0.6882]","[0.2747, 0.5521]","[0.3687, 0.6029]","[0.5106, 0.7167]","[0.62, 0.8023]","[0.2313, 0.6843]","[0.2972, 0.7165]","[0.4458, 0.7954]","[0.568, 0.8563]","[0.2262, 0.8158]","[0.1178, 0.813]","[0.0295, 0.8255]","[-0.0408, 0.8372]"
"[0.6484, 0.9196]","[0.7157, 0.7466]","[0.7275, 0.5778]","[0.659, 0.4868]","[0.5505, 0.5035]","[0.3485, 0.4572]","[0.4223, 0.4915]","[0.5377, 0.6064]","[0.6303, 0.693]","[0.2541, 0.5638]","[0.3658, 0.6117]","[0.5136, 0.7221]","[0.6248, 0.8059]","[0.2201, 0.7003]","[0.2997, 0.7269]","[0.4547, 0.8027]","[0.577, 0.8611]","[0.2273, 0.8333]","[0.1388, 0.8359]","[0.0658, 0.8539]","[0.0083, 0.8725]"
"[0.6476, 0.9145]","[0.7115, 0.7468]","[0.7147, 0.5732]","[0.6405, 0.4867]","[0.5327, 0.5139]","[0.3263, 0.4699]","[0.4122, 0.5004]","[0.5308, 0.6052]","[0.621, 0.6813]","[0.239, 0.5828]","[0.3601, 0.6208]","[0.5074, 0.7205]","[0.6152, 0.7946]","[0.2139, 0.7219]","[0.3022, 0.7358]","[0.454, 0.8039]","[0.5716, 0.8565]","[0.2283, 0.8551]","[0.1599, 0.8509]","[0.1007, 0.8693]","[0.0544, 0.8895]"
"[0.6385, 0.9178]","[0.7045, 0.7466]","[0.7034, 0.5745]","[0.6329, 0.4825]","[0.5249, 0.5109]","[0.3169, 0.4834]","[0.4135, 0.5148]","[0.5305, 0.6117]","[0.6152, 0.6794]","[0.2339, 0.5948]","[0.369, 0.637]","[0.5137, 0.7303]","[0.6171, 0.7957]","[0.2135, 0.7314]","[0.3105, 0.752]","[0.461, 0.8121]","[0.5775, 0.8554]","[0.2324, 0.8632]","[0.1635, 0.8705]","[0.1113, 0.8868]","[0.0787, 0.902]"
"[0.6257, 0.9287]","[0.6911, 0.7508]","[0.6915, 0.5789]","[0.6288, 0.485]","[0.5305, 0.5171]","[0.2998, 0.4968]","[0.4121, 0.5198]","[0.5332, 0.6107]","[0.6201, 0.6748]","[0.2217, 0.6101]","[0.3749, 0.64]","[0.5183, 0.7253]","[0.6199, 0.7864]","[0.206, 0.7486]","[0.32, 0.7573]","[0.4712, 0.8101]","[0.5874, 0.8511]","[0.2302, 0.8809]","[0.174, 0.8828]","[0.1281, 0.9013]","[0.1013, 0.9222]"
"[0.6156, 0.9281]","[0.6756, 0.7448]","[0.6758, 0.5803]","[0.6236, 0.485]","[0.5309, 0.5138]","[0.286, 0.5101]","[0.4112, 0.5232]","[0.5275, 0.6078]","[0.609, 0.6688]","[0.2159, 0.6243]","[0.3744, 0.6393]","[0.5124, 0.7201]","[0.6115, 0.783]","[0.2055, 0.7618]","[0.3133, 0.7544]","[0.462, 0.8006]","[0.5779, 0.8394]","[0.2364, 0.8917]","[0.1789, 0.902]","[0.1413, 0.9141]","[0.1232, 0.9246]"
"[0.607, 0.9183]","[0.6613, 0.7316]","[0.6563, 0.5656]","[0.6029, 0.4758]","[0.5203, 0.5102]","[0.2601, 0.5214]","[0.4145, 0.5311]","[0.5346, 0.6075]","[0.6103, 0.6661]","[0.199, 0.6399]","[0.3818, 0.6477]","[0.5209, 0.717]","[0.6143, 0.7721]","[0.1967, 0.7782]","[0.3202, 0.764]","[0.4682, 0.7948]","[0.5785, 0.8222]","[0.2356, 0.9086]","[0.2019, 0.9122]","[0.1836, 0.9183]","[0.1777, 0.9226]"
